apartment_id,area_id,entity_subtype,geometry,elevation,height,orientation,window_area,layout_area,window_floor_ratio,door_connection1,door_connection2,view_landscape_nature_mean,view_landscape_urban_mean
Design1,100,BEDROOM,"POLYGON((-4.78948518872 17.0351163827,-10.0213258739 18.7748208059,-9.26727472289 21.0424907838,-4.03543403769 19.3027863606,-4.78948518872 17.0351163827))",8.7,2.6,West,2.72,13.175914,0.206437,0,0,2.283,0.924
Design1,101,BEDROOM,"POLYGON((-10.8126125569 16.3951718227,-10.0535104602 18.6780315895,-6.24230224494 17.4107193397,-7.00140434163 15.1278595729,-10.8126125569 16.3951718227))",8.7,2.6,West,2.72,9.662473,0.281501,0,0,2.824792,1.135919
Design1,102,BEDROOM,"POLYGON((-11.8692301285 13.2175890525,-10.8447971431 16.2983826063,-7.03358892790 15.0310703565,-8.05591790187 11.9522819491,-11.8692301285 13.2175890525))",8.7,2.6,West,2.72,13.036882,0.208639,0,0,2.262912,0.983962
Design1,103,CORRIDOR,"POLYGON((-3.33867817565 13.1390979889,-5.47277559809 13.8487332681,-5.58453132540 13.5337329144,-7.22433786624 14.0707833416,-6.13284545403 17.3532457725,-4.82798047817 16.9193488886,-5.13204956013 16.0049171191,-4.97832551059 15.9538004232,-2.65915937619 15.1826256446,-3.33867817565 13.1390979889))",8.7,2.6,0,0,10.483148,0,0,0,0,0
Design1,104,BATHROOM,"POLYGON((-5.62898772115 13.4345689636,-6.31561153147 11.3748254279,-8.00656390829 11.9359056455,-7.32294581906 13.9960813850,-5.62898772115 13.4345689636))",8.7,2.6,South,1.44,3.870945,0.372002,0,0,0.032408,0.015637
Design1,105,KITCHEN,"POLYGON((-2.72416527626 12.8272673475,-3.51602776100 10.4458867465,-6.22197143141 11.3437544122,-5.42217186354 13.7080723850,-2.72416527626 12.8272673475))",8.7,2.6,South,1.44,7.119141,0.202272,0,0,1.008699,0.486688
Design1,106,BATHROOM,"POLYGON((-1.81673096642 13.8221407668,-2.83931399636 14.1623200180,-2.51552808089 15.1363785208,-1.48958761546 14.8059585327,-1.81673096642 13.8221407668))",8.7,2.6,0,0,1.111817,0,0,0,0,0
Design1,107,LIVING_ROOM,"POLYGON((2.28891377176 12.3494561147,-2.87057766718 14.0651027900,-3.22716670437 12.9914797678,-2.72416527626 12.8272673475,-3.51602776100 10.4458867465,1.14199035027 8.90029513109,2.28891377176 12.3494561147))",8.7,2.6,East,5.36,18.44467,0.290599,0,0,2.02388,0.192323
Design1,108,OUTDOOR_SPACE,"POLYGON((2.69825563982 12.8135254216,3.99386820746 12.3827051711,2.59223924315 8.16756417147,1.29662667547 8.59838442198,2.69825563982 12.8135254216))",8.7,2.6,East,0,6.06504,0,0,0,1.307048,0.124205
Design1,100,WINDOW,"POLYGON((-10.1348205152 19.1972883331,-9.59841074412 20.8104419394,-9.37067141147 20.7347135011,-9.90708118250 19.1215598948,-10.1348205152 19.1972883331))",9.1,10.7,West,2.72,0,0,0,0,0,0
Design1,101,WINDOW,"POLYGON((-10.9028873917 16.8874686415,-10.3664776207 18.5006222478,-10.1387382881 18.4248938096,-10.6751480591 16.8117402033,-10.9028873917 16.8874686415))",9.1,10.7,West,2.72,0,0,0,0,0,0
Design1,102,WINDOW,"POLYGON((-11.8204894125 14.1279495410,-11.2840796414 15.7411031473,-11.0563403088 15.6653747091,-11.5927500798 14.0522211028,-11.8204894125 14.1279495410))",9.1,10.7,West,2.72,0,0,0,0,0,0
Design1,104,WINDOW,"POLYGON((-7.74687061759 11.5935520781,-6.89196345878 11.3122448620,-6.81694820116 11.5402201043,-7.67185535997 11.8215273204,-7.74687061759 11.5935520781))",9.1,10.7,South,1.44,0,0,0,0,0,0
Design1,105,WINDOW,"POLYGON((-5.70331982924 10.9142393807,-4.84805375876 10.6340252685,-4.77332999550 10.8620962206,-5.62859606599 11.1423103328,-5.70331982924 10.9142393807))",9.1,10.7,South,1.44,0,0,0,0,0,0
Design1,107,WINDOW,"POLYGON((1.54149251085 9.34256493794,1.79530385495 10.1012346959,1.56770292757 10.1773780991,1.31389158347 9.41870834117,1.54149251085 9.34256493794))",9.1,10.7,East,1.28,0,0,0,0,0,0
Design1,107,OUTSIDE_DOOR,"POLYGON((1.80189143551 10.1210443679,2.33830120654 11.7341979742,2.11056187388 11.8099264125,1.57415210286 10.1967728062,1.80189143551 10.1210443679))",8.7,11.1,East,4.08,0,0,107,108,0,0
Design1,0,DOOR,"POLYGON((-5.30115846215 17.0777450220,-6.06028957099 17.3301731496,-6.02242535186 17.4440428159,-5.26329424302 17.1916146884,-5.30115846215 17.0777450220))",0,0,0,0,0,0,100,103,0,0
Design1,0,DOOR,"POLYGON((-6.97468970432 15.2050297020,-6.72226157677 15.9641608109,-6.60839191044 15.9262965917,-6.86082003799 15.1671654829,-6.97468970432 15.2050297020))",0,0,0,0,0,0,101,103,0,0
Design1,0,DOOR,"POLYGON((-7.31797862850 14.1726514793,-7.06555050096 14.9317825881,-6.95168083463 14.8939183690,-7.20410896218 14.1347872602,-7.31797862850 14.1726514793))",0,0,0,0,0,0,102,103,0,0
Design1,0,DOOR,"POLYGON((-6.15797815613 13.6097573303,-6.82221787637 13.8306319419,-6.79066436043 13.9255233305,-6.12642464018 13.7046487189,-6.15797815613 13.6097573303))",0,0,0,0,0,0,103,104,0,0
Design1,0,DOOR,"POLYGON((-3.28542641978 15.3919273219,-4.04455752863 15.6443554495,-4.00038260630 15.7772033935,-3.24125149746 15.5247752660,-3.28542641978 15.3919273219))",0,0,0,0,0,0,103,0,0,0
Design1,0,DOOR,"POLYGON((-2.95540009311 14.2885670339,-2.73452548151 14.9528067541,-2.59218839860 14.9054764802,-2.81306301020 14.2412367600,-2.95540009311 14.2885670339))",0,0,0,0,0,0,103,106,0,0
Design1,0,DOOR,"POLYGON((-3.30221335159 13.2455900248,-3.04978522404 14.0047211337,-2.90744814114 13.9573908597,-3.15987626868 13.1982597509,-3.30221335159 13.2455900248))",0,0,0,0,0,0,103,107,0,0
Design1,0,FLOOR,"POLYGON((-6.7748722858 29.3017138971,-12.1739625646 13.0649441281,-4.70461013538 10.5864252624,-10.1037004142 -5.65034450660,4.66177757655 -10.5499012096,10.0608678554 5.68686855934,2.59223924315 8.16756417147,7.99060570495 24.4021571940,-6.7748722858 29.3017138971))",8.7,0,0,0,0,0,0,0,0,0
Design1,0,FLOOR_OUTDOOR_SPACE,"POLYGON((1.29662667547 8.59838442198,2.59223924315 8.16756417147,7.99060570495 24.4021571940,6.69472257742 24.8321637856,1.29662667547 8.59838442198))",8.7,0,0,0,0,0,0,0,0,0
Design1,0,FLOOR_OUTDOOR_SPACE,"POLYGON((3.36589444901 -10.1198946180,4.66177757655 -10.5499012096,10.0608678554 5.68686855934,8.76511017818 6.1172528442,3.36589444901 -10.1198946180))",8.7,0,0,0,0,0,0,0,0,0
Design2,200,BEDROOM,"POLYGON((-6.47178930725 17.0504390257,-10.1773604237 18.3053461930,-9.26753566368 21.0427220352,-6.55157683422 20.1394602993,-7.13765724358 18.3611763424,-6.15000664321 18.0242264091,-6.47178930725 17.0504390257))",8.7,2.6,West,2.4,9.360379,0.2564,0,0,2.4715,0.99773
Design2,201,BEDROOM,"POLYGON((-6.49818340602 16.9722048604,-10.2099379980 18.2062066056,-11.0045754617 15.8178794529,-7.29250022145 14.5848414342,-6.49818340602 16.9722048604))",8.7,2.6,West,2.4,9.843482,0.243816,0,0,2.718604,1.107224
Design2,202,LIVING_ROOM,"POLYGON((-11.0342348065 15.7203947341,-5.8759574996 14.0040039634,-6.71057723048 11.4993836570,-11.8689839550 13.2183300463,-11.0342348065 15.7203947341))",8.7,2.6,South,10.319199,14.346808,0.719268,0,0,1.668482,0.725491
Design2,203,BATHROOM,"POLYGON((-6.45110793641 20.1063788145,-7.00686210888 18.4216245366,-4.59233369734 17.6174819338,-4.03657952487 19.3022362117,-6.45110793641 20.1063788145))",8.7,2.6,0,0,4.514793,0,0,0,2.444068,0.987001
